U_ID,Title,Data,Code,Audio URL,Last Modified By,Created By,Last Modified Time
A1,Dua before reciting Holy Quran,NULL,,,Saeed Jassani,Saeed Jassani,9/13/2020 4:28pm
A2,Dua after reciting Holy Quran,NULL,,,Saeed Jassani,Saeed Jassani,9/13/2020 4:44pm
A3,Dua Khatme Quran,NULL,,,Saeed Jassani,Saeed Jassani,9/13/2020 4:28pm
A4,Ayat al Kursi,NULL,,,Saeed Jassani,Saeed Jassani,9/13/2020 4:28pm
A5,1: Al-Faatiha الفاتحة,"بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ (1)
In the name of Allah, the Beneficent, the Merciful.
ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ (2)
All praise is due to Allah, the Lord of the Worlds.
ٱلرَّحْمَٰنِ ٱلرَّحِيمِ (3)
The Beneficent, the Merciful.
مَٰلِكِ يَوْمِ ٱلدِّينِ (4)
Master of the Day of Judgment.
إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ (5)
Thee do we serve and Thee do we beseech for help.
ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ (6)
Keep us on the right path.
صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ (7)
The path of those upon whom Thou hast bestowed favors. Not (the path) of those upon whom Thy wrath is brought down, nor of those who go astray.",02,,Saeed Jassani,Saeed Jassani,9/28/2020 12:11pm
A6,2 : Al-Baqara البقرة,NULL,02,,Saeed Jassani,Saeed Jassani,9/28/2020 2:19pm
